file_name,formula,atom_num,formation_energy,B_element,X_element,sites,perovskite_judge
ICSD-633475.cif,Se8 Fe4,12,-0.7779597944444442,['Fe'],['Se'],"[0, 1, 2, 3]",perovskite
ICSD-281433.cif,Cs4 Y4 Cd4 Se12,24,-1.3814654570833331,['Y'],['Se'],"[4, 5, 6, 7]",perovskite
ICSD-254188.cif,Ba8 Sc4 Ru4 O24,40,-2.440360075,"['Ru', 'Sc']",['O'],"[8, 9, 10, 11, 12, 13, 14, 15]",perovskite
ICSD-253809.cif,Cs2 W6 O18,26,-2.2850589563461536,['W'],['O'],"[2, 3, 4, 5, 6, 7]",perovskite
ICSD-651447.cif,S8 Zn4,12,-0.5462309708333333,['Zn'],['S'],"[0, 1, 2, 3]",perovskite
ICSD-418010.cif,La2 I2 P,5,-1.5795819834523812,['P'],['La'],[2],anti-perovskite
ICSD-602931.cif,Sr4 Te4,8,-1.7455287045833332,['Sr'],['Te'],"[0, 1, 2, 3, 4, 5, 6, 7]",perovskite
ICSD-257373.cif,K6 Si2 F14,22,-3.0664743169318185,"['K', 'Si']",['F'],"[0, 1, 6, 7, 8, 9]",perovskite
ICSD-262319.cif,Ba8 Ca4 Mo4 O24,40,-2.723679008250001,"['Mo', 'Ca']",['O'],"[8, 9, 10, 11, 12, 13, 14, 15]",perovskite
ICSD-653098.cif,Te6 Y3 Tl3,12,-1.0758495854166668,"['Y', 'Tl']",['Te'],"[0, 1, 2, 3, 4, 5]",perovskite
ICSD-409454.cif,Rb12 Fe8 Se16,36,-0.8565150057407406,['Rb'],['Se'],"[0, 1, 2, 3]",perovskite
ICSD-608513.cif,Y6 Mn2 Al2 S14,24,-1.8306327330387933,['Mn'],['S'],"[6, 7]",perovskite
ICSD-403158.cif,Rb8 Bi2 Ag4 Br18,32,-1.2149898915625004,['Bi'],['Br'],"[12, 13]",perovskite
ICSD-407802.cif,Mn3 Ba6 Te3 O18,30,-1.849209675896552,"['Te', 'Mn']",['O'],"[6, 7, 8, 9, 10, 11]",perovskite
ICSD-257115.cif,Cs8 In4 Ag4 Cl24,40,-1.4000408604999997,"['In', 'Ag']",['Cl'],"[8, 9, 10, 11, 12, 13, 14, 15]",perovskite
ICSD-258893.cif,Ca4 Zr4 F24,32,-3.9245232490625,"['Zr', 'Ca']",['F'],"[0, 1, 2, 3, 4, 5, 6, 7]",perovskite
