file_name,formula,formation_energy
ICSD-262924.cif,Cs I3 Sn,-0.9700583945000002
ICSD-431430.cif,Na8 Cd4 P4 O16 F4,-2.181653666779101
ICSD-409674.cif,W4 Cs8 Cl24,-1.3718182919444446
ICSD-417373.cif,Au Cs Cl3,-0.9835365792500004
ICSD-281318.cif,Li4 In4 Si4 O16,-2.277759989047619
ICSD-262078.cif,K12 Al4 F24,-3.16494777375
ICSD-261175.cif,Ga4 Te6 O18,-1.3267373844642858
ICSD-261130.cif,Sr2 V12 O22,-2.476822956111112
ICSD-651412.cif,Zn4 Y8 S16,-1.8769704832142853
ICSD-280576.cif,Cd As2 O6,-1.250154627222222
ICSD-432878.cif,Mn4 Te2 O12,-1.521062252177522
ICSD-620451.cif,Cd Tl Se2,-0.336539509583333
ICSD-412444.cif,Cs3 Nb3 F18,-3.2526935516666664
ICSD-415451.cif,Ag2 Ni2 O4,-0.7223370462500007
ICSD-409541.cif,Ag6 Cr2 O8 Cl2,-0.9777179795833336
ICSD-427115.cif,Pb8 I4 Na4 O24,-0.9427935286250004
ICSD-410849.cif,Ga4 F16 N4 H16,-1.5979407146250004
ICSD-639980.cif,In6 Mn3 Se12,-0.3929395993760264
ICSD-616136.cif,Ba2 Zr2 Se6,-1.6470122680000003
ICSD-280462.cif,K8 Pt4 Cl24,-1.2413936522222224
ICSD-433059.cif,Cs Sc3 F6 Se2 O6,-2.789619808796296
ICSD-651073.cif,Sr4 Y8 S16,-2.308923812857142
ICSD-434768.cif,Ta4 O8 N4 Sr4,-2.4125344990000004
ICSD-430520.cif,K4 Se4,-0.9517232583333336
ICSD-650031.cif,Sn3 Rb3 S6,-0.8133433142708331
ICSD-411202.cif,Te18 Zr15,-0.8778351172727267
ICSD-401350.cif,Ag4 V4 Cd4 O16,-1.5891523642857146
ICSD-413972.cif,As4 Cu4 F28,-1.874778548194444
ICSD-429243.cif,Sb2 F12 O4 N2,-1.6269950790000005
ICSD-608836.cif,Y6 Ni2 Al2 S14,-1.7371454560416673
ICSD-416040.cif,K3 Na Ru2 O8,-1.3406926571428577
ICSD-413165.cif,Mg6 P6 Se18,-0.612077701952381
ICSD-626704.cif,Cr2 Se2,-0.1252360508333341
ICSD-417512.cif,Mn4 F16 O4 Li4 H8,-2.1031272699776498
ICSD-427481.cif,Ba4 La8 O16,-3.0746099800000004
ICSD-607565.cif,La6 Fe2 Al2 S14,-1.9200556981250003
ICSD-260946.cif,S24 P8 Cs10 As2,-0.9146294993885288
ICSD-401454.cif,V4 Cd4 Cu4 O16,-1.637345636071429
ICSD-268105.cif,Ba2 Zr2 Ge6 O18,-2.330362309642858
ICSD-261535.cif,Ca8 Sb8 O28,-2.1632565247727267
ICSD-258634.cif,Ba8 Y4 Os4 O24,-2.4515520530000003
ICSD-260410.cif,Mo6 Zn4 O16,-1.8456534392307693
ICSD-760135.cif,Li6 Sb6 O18,-1.682499459666667
ICSD-260887.cif,Mo2 Fe Cs O8,-1.9897802872916683
ICSD-415780.cif,La8 N4 S6,-1.9063963000000004
ICSD-262284.cif,Pb8 Mg4 W4 O24,-1.94985848425
ICSD-258178.cif,In6 Te3 O18,-1.3761817881481493
ICSD-617200.cif,Bi3 Tl3 Te6,-0.3121631237499998
ICSD-601338.cif,Co2 S2,-1.052590515
ICSD-254191.cif,Mn Ge Te O6,-1.2695424417369097
ICSD-401026.cif,Na6 Ti9 Cl24,-1.4565536828205126
ICSD-281549.cif,O12 In4 La4,-2.4620050125000006
ICSD-261453.cif,Ba8 Y4 Ta4 O24,-3.2124289790000007
ICSD-632807.cif,Fe4 Nb8 Se16,-0.6914718502380949
ICSD-608298.cif,La6 Mg2 Al2 S14,-1.9786078297916667
ICSD-261938.cif,Pb4 Te8 Cu4 O28,-0.983943746893939
ICSD-605616.cif,Ni3 Ag3 Se6,-0.2232649545833333
ICSD-264201.cif,Bi12 Te6 I6,-0.2643629705208337
ICSD-257906.cif,Sr8 Cr6 O20,-2.401981512352941
ICSD-606601.cif,La6 Co2 Al2 S14,-1.856846194375
ICSD-620416.cif,Se8 Cd4,-0.3361211644444448
ICSD-624300.cif,Co2 Nb8 S16,-1.3231656411538462
ICSD-650842.cif,S4 Sc4,-1.8888291025
ICSD-612311.cif,Au4 Tl16 Se12,-0.208859936875
ICSD-260029.cif,Hg6 Sn6 O18,-1.0431122127500003
ICSD-611058.cif,Ni4 As4 S4,-0.4979663108333335
ICSD-432184.cif,Li4 Co4 P4 O16,-2.0950202904421777
ICSD-429825.cif,Mn V2 O8 Ba Li2,-2.3952798979022987
ICSD-624982.cif,Se8 Co4,-0.6069311902777782
ICSD-281441.cif,Hg4 La4 Cs4 Se12,-1.2719093575000002
ICSD-608323.cif,La6 V2 Al2 S14,-1.8583881697916669
ICSD-624624.cif,Co8 P8 Se8,-0.7834462242261905
ICSD-402273.cif,Na4 Sc4 Cl16,-2.042470526666667
ICSD-380147.cif,Mn2 Na2 S6 O6 H12 N6 C6,-0.5678258860732761
ICSD-258974.cif,Ca6 C6 O18,-2.287843696000001
ICSD-620316.cif,Cd4 S4,-0.6375319912499999
ICSD-616005.cif,Ba4 O4,-2.486855170000001
ICSD-254193.cif,Pb Ge Te O6,-1.3352992537962958
ICSD-254371.cif,Ta6 Pb3 V6 O33,-2.5210381490104177
ICSD-412142.cif,Ba8 Li4 Os4 O24,-2.0269479010833336
ICSD-260289.cif,Rb Ca2 Nb3 O10,-2.8476605453125003
ICSD-281551.cif,Mg I2,-1.0805860825
ICSD-262056.cif,Ba6 N3 Br3,-1.1888469264583332
ICSD-651032.cif,Sn4 Sr4 S12,-1.2477125087499998
ICSD-652768.cif,Sn4 Tl16 Te12,-0.28913684921875
ICSD-253332.cif,Sr Mo O3,-2.4160158480000007
ICSD-418476.cif,Tl3 Sc3 Te6,-0.9417625308333336
ICSD-290318.cif,Rb8 Na4 Al4 F24,-3.18232143075
ICSD-629329.cif,Te8 Cu4,-0.0087856786111112
ICSD-416454.cif,Ba2 V12 O22,-2.4604902991666657
ICSD-254259.cif,Sc4 K8 Si8 O24 F4,-2.904468250520834
ICSD-418475.cif,Tl3 Sc3 Se6,-1.2755808716666663
ICSD-261129.cif,Sr2 V12 O22,-2.4346858891666665
ICSD-416608.cif,As2 F12 Li2 O6 H12,-1.6718613185784312
ICSD-262123.cif,As4 Na4 Ca4 O16,-2.120143865714286
ICSD-261795.cif,Sr6 B3 N6 Br3,-1.4198426598611116
ICSD-261937.cif,Sr4 Te8 Cu4 O28,-1.3714407637121209
ICSD-290335.cif,Li4 Fe4 P4 O16,-2.2230130125850343
ICSD-412126.cif,Nb8 Rb2 Cl22,-1.410050924296875
ICSD-626479.cif,Cr12 O18,-1.7656672420000006
ICSD-620526.cif,Cd4 Te4,-0.2748003070833329
ICSD-607623.cif,Y6 Fe2 Al2 S14,-1.8906653747916669
ICSD-259385.cif,Ba8 Cd4 Os4 O24,-1.79200070675
ICSD-410769.cif,Sr6 Cl3 N3,-1.4281087905208338
ICSD-413876.cif,Tl8 Ca12 O24,-1.9446109575000003
ICSD-607619.cif,Fe3 Al6 S12,-1.2374311014285715
ICSD-603582.cif,V Te2,-0.3183204077777777
ICSD-401664.cif,Cs12 Cl4 O4,-1.3906334407500005
ICSD-617113.cif,Bi3 Tl3 Se6,-0.4520931870833334
ICSD-414019.cif,La18 Sb10 O10,-2.138535986842106
ICSD-262710.cif,Cd4 Ti4 O12,-2.253606853833334
ICSD-292066.cif,Te7 Ge Sb4,-0.1225315847222218
ICSD-258030.cif,K4 Ca4 F12,-3.47140398425
ICSD-260003.cif,I4 Na4 O8 F8,-1.4618184581250002
ICSD-261204.cif,O16 Co4 S4 N8 H16,-0.8723128997916673
ICSD-426677.cif,La6 Co2 Ga2 S14,-1.7654400040625002
ICSD-616101.cif,Ba4 Y8 S16,-2.3190419010714294
ICSD-416281.cif,Ag8 Te8 O28,-0.694793596666666
ICSD-258941.cif,Cs6 Al4 F18,-3.295617663660715
ICSD-409293.cif,K4 Cu4 Hf4 S12,-1.465735634583334
ICSD-411518.cif,Ta4 Cl28 S4 O4,-1.1113021386250002
ICSD-280947.cif,Cs Al Mo2 O8,-2.330694319583334
ICSD-417675.cif,Ag12 Sb4 O16,-0.6968867790625
ICSD-280167.cif,Ba3 Ni6 P6 O24,-1.965829260347985
ICSD-608441.cif,Mg3 Al6 S12,-1.3284187978571431
ICSD-417355.cif,In2 I6 O18,-0.5810877531730774
ICSD-616991.cif,Pt4 Bi4 Se4,-0.3882620555555552
ICSD-425125.cif,Sb4 Se12 Na12,-0.8425425428571428
ICSD-409697.cif,Fe I2 O6 H24 C6,-0.5215937126282051
ICSD-253579.cif,Rb3 Zn6 Cl6 O9 B3,-1.8555743777777784
ICSD-651070.cif,Sr2 Ti2 S6,-1.7192801903333332
ICSD-256039.cif,Rb2 Ti F6,-3.2762799932407414
ICSD-650254.cif,Rh4 Sb4 Se4,-0.6346752713888885
ICSD-260162.cif,Tc4 Br12,-0.3658879318749997
ICSD-254431.cif,Cr4 Bi4 O12,-1.3504085490000002
ICSD-264323.cif,Pb8 O24 F2 Na2 Te8,-1.298434982291667
ICSD-421317.cif,Bi2 Tl6 Cl12,-1.0353099117500002
ICSD-281127.cif,Ba6 Na2 Ru4 O18,-1.8706957406666669
ICSD-602124.cif,Ge4 Te4,-0.0724507595833334
ICSD-616131.cif,Ba2 Ti2 Se6,-1.4979789813333333
ICSD-423274.cif,Nb2 K2 Na2 F10 O2,-3.053004567083333
ICSD-624862.cif,Co4 Sb4 S4,-0.7735416449999999
ICSD-601166.cif,Zr S2,-1.82494963
ICSD-412143.cif,Ba8 Na4 Os4 O24,-1.97191097775
ICSD-616104.cif,Ba4 Zr4 S12,-2.0458041755000003
ICSD-425945.cif,Cs8 La4 Cl24 Na4,-2.1332430955
ICSD-629347.cif,Cu4 Tl16 Te12,-0.1284431124999998
ICSD-279607.cif,Ba6 V4 S8 O6,-2.1791391079166664
ICSD-610764.cif,K12 As4 S12,-1.0815145010714282
ICSD-413432.cif,K6 Sc2 Si4 O14,-2.6949295288461537
ICSD-651024.cif,Sn8 S12,-0.5652312625
ICSD-652041.cif,Se2 Ti2,-1.0983291441666667
ICSD-616129.cif,Ba2 Ta2 Se6,-1.3099251969999997
ICSD-300020.cif,Ag2 Al2 O4,-1.9909721081250007
ICSD-650710.cif,Te8 Ru4,-0.4207765827777775
ICSD-259862.cif,Si S2,-0.7320110599999996
ICSD-431399.cif,Ag4 Nb4 Se8 O28,-1.3500874998484842
